Orgineel,Synoniem,Dialect
Soep,Maaltijdsoep,0
Solvent,Oplosmiddel,0
Spaarlamp,Compacte fluorescentielamp,0
Spaarlamp,Energiespaarlamp,0
Speelgoed,Babyspeelgoed,-2
Speelgoed,Kinderspeelgoed,-2
Speelgoed,Sinterklaasspeelgoed,-2
Speelgoed,Speeltuig,0
Spuit,Injectie,0
Spuit,Injectiespuit,0
Spuit,Pikuur,0
Steen,Kei,0
Steen,Kiezelsteen,0
Steen,Rotsblok,0
Stemvork,Diapason,0
Stofzuigerzak,Stofzak,0
Stookolie,Mazout,0
Strecthfolie,Krimpfolie,0
Stretchfolie,Handwikkelfolie,0
Stretchfolie,Rekfolie,0
Strooizout,Wegenzout,0
Struik,Heester,0
Suiker,Bietsuiker,-2
Suiker,Kristalsuiker,-2
Suiker,Rietsuiker,-2
Suiker,Sacharose,0
Suiker,Tafelsuiker,-2
Tabak,Pijptabak,-2
Tabak,Roltabak,-2
Tabak,Rookwaar,0
Tabak,Shag,-2
Tabak,Snuiftabak,-2
Tabak,Tabakswaren,0
Tabak,Toebak,1
Tafellaken,Ammelaken,1
Tafellaken,Tafelkleed,0
Tak,Twijg,0
Tampon,Kotextampon,-1
Tampon,Tampax,-1
Tandbeugel,Appareil,1
Tandbeugel,Blokbeugel,-2
Tandbeugel,Blokskes,1
Tandbeugel,Plaatbeugel,-2
Tandbeugel,Slotjesbeugel,-2
Tandpasta,Fluortandpasta,-2
Tandpasta,Kindertandpasta,-2
Tapijt,Karpet,0
Tapijt,Tapis-plain,1
Tapijt,Tapis-plein,1
Tapijt,Vloerkleed,0
Tapijt,Voltapijt,-2
Tegel,Plavei,1
Tegel,Stoeptegel,-2
Tegel,Vloertegel,-2
Tegel,Wandtegel,-2
Telefoonboek,Telefoongids,0
Textiel,Geotextiel,-2
Textiel,Huishoudtextiel,-2
Textiel,Kleding,0
Textiel,Textielwaar,0
Theelichthoudertje,Theekaarshouder,0
Theelichthoudertje,Waslichthouder,0
Theelichthoudertje,Waxinelichthouder,0
Theelichtje,Theekaars,0
Theelichtje,Waslicht,0
Theelichtje,Waxinelicht,0
Thermometer,Thermoscoop,0
Thermometer,Warmtemeter,0
Thermos,Isoleerkan,0
Thermos,Pompthermos,-2
Thermos,Thermofles,0
Thermos,Thermokan,0
Tijdschrift,Boekske,1
Tijdschrift,Magazine,0
Tijdschrift,Weekblad,-2
Tijdschrijft,Maandblad,-2
TL-lamp,Fluorescentielamp,0
TL-lamp,TL-buis,0
Toiletblok,Wc-blok,0
Toiletpot,Closetpot,0
Toiletpot,WC-pot,0
Toiletreiniger,WC-eend,-1
Toiletreiniger,WC-reiniger,0
Toner,Inktpoeder,0
Toner,Poederinkt,0
Touw,Koord,0
Touw,Koorde,0
Touw,Spantouw,0
Touw,Zeel,1
Trapladder,Huishoudtrap,0
Trapladder,Keukentrap,0
Trapladder,Reformladder,0
Trapladder,Schaarladder,0
Trapladder,Trapleer,0
Treinkaartje,Coupon,0
Treinkaartje,Reisbiljet,0
Treinkaartje,Treinbiljet,0
Tuingereedschap,Hofgerief,1
Tuingereedschap,Tuingerief,1
Tuinmeubel,Tuinbank,-2
Tuinmeubel,Tuintafel,-2
Tuinmeubel,Tuinzetel,-2
Tuinslang,Lans,1
Tuinslang,Waterdarm,1
UV-lamp,Black light lamp,0
UV-lamp,Ultraviolet lamp,0
Vaas,Bloemenvaas,-2
Vaas,Siervaas,-2
Veegborstel,Bezem,0
Veegborstel,Borstel,0
Veegborstel,Veger,0
Veegborstel,Vloervarken,1
Veegbortel,Keerborstel,0
Veevoederzak,Diervoederzak,0
Veevoederzak,Veevoer verpakking,0
Velg,Achtervelg,-2
Velg,Jante,1
Velg,Sportvelg,-2
Velg,Voorwielvelg,-2
Velg,Zante,1
Velg,Zjant,1
Vensterglas,Glasruit,0
Vensterglas,Ruit,0
Veren,Gevederte,0
Veren,Pluim,0
Veren,Veer,0
Verf,Couche,1
Verf,Grondverf,-2
Verf,Ijzermenie,-2
Verf,Lak,-2
Verf,Latexverf,-2
Verf,Loodmenie,-2
Verf,Menie,-2
Verf,Muurverf,-2
Verf,Olieverf,-2
Verf,Tjet,0
Verf,Waterverf,-2
Verfborstel,Penseel,0
Verfborstel,Schildersborstel,0
Verfborstel,Verfkwast,0
Verfbrandapparaat,Heteluchtpistool,0
Verfbrandapparaat,Verfstripper,0
Verfpot,Verfblik,0
Verfrissingsdoekje,Vochtig doekje,0
Verfrol,Verfroller,0
Verfverwijderaar,Decapant,1
Verfverwijderaar,Verfafbijter,0
Vernis,Ambervernis,-2
Vernis,Barnsteenvernis,-2
Vernis,Glansvernis,-2
Vernis,Goudvernis,-2
Vernis,Kleurvernis,-2
Vernis,Lakvernis,-2
Vernis,Matvernis,-2
Vershoudfolie,Huishoudfolie,0
Vervallen eetwaar,Bedroven eetwaar,0
Verwarmingskussen,Warmtekussen,0
Vet,Bakkersvet,-2
Vet,Bakvet,-2
Vet,Reuzel,-2
Vet,Smeer,0
Vet,Smeervet,-2
Vet,Smout,-2
Vet,Vetstof,0
Vezelplaat,Houtvezelplaat,-2
Vezelplaat,Strovezelplaat,-2
Videocassettedoos,VHS doos,0
Vinyl vloerbedekking,Novilon,2
Vinyl vloerbedekking,Polyvinylchloride vloerbedekking,0
Visgraat,Graat,0
Visgraat,Visbeen,0
Vliegengordijn,Hor,0
Vliegengordijn,Jaloezie,1
Vliegengordijn,Moestekeir,1
Vliegengordijn,Schrin,1
Vliegengordijn,Stramijm,1
Vliegengordijn,Stremmaan,1
Vliegengordijn,Vliegenraam,0
Vliegengordijn,Vliegenvenster,0
Vliegengordijn,Zift,1
Vod,Lodder,1
Vod,Scheuteldoek,1
Vod,Schoteldvod,-2
Vod,Slunse,1
Vod,Vodde,0
Voetmat,Deurmat,0
Vogelkooizand,Vogelzand,0
Vogelzaad,Blauwmaanzaad,-2
Vogelzaad,Boekweit,-2
Vogelzaad,Cardy,-2
Vogelzaad,Dari,-2
Vogelzaad,Gele millet,-2
Vogelzaad,Gele Panis,-2
Vogelzaad,Gepelde haver,-2
Vogelzaad,Gestreepte zonnebloempitten,-2
Vogelzaad,Japanse millet,-2
Vogelzaad,Kanariezaad,-2
Vogelzaad,Katjang idjoe,-2
Vogelzaad,Kempzaad,-2
Vogelzaad,Koolzaad,-2
Vogelzaad,Lijnzaad,-2
Vogelzaad,Milo,-2
Vogelzaad,Nigerzaad,-2
Vogelzaad,Paddy rijst,-2
Vogelzaad,Raapzaad,-2
Vogelzaad,Rode millet,-2
Vogelzaad,Rode Panis,-2
Vogelzaad,Witte millet,-2
Vogelzaad,Witte zonnebloempitten,-2
Vuilblik,Blek,1
Vuilblik,Blik en veger,0
Vuilblik,Stofblik,0
Vuilblik,Stoffer en blik,0
Vuilblik,Troeffel,1
Vuilblik,Vuilblek,1
Vuilblik,Vuilnisblik,0
Vuurvaste schotel,Braadschotel,0
Vuurvaste schotel,Caquelon,-2
Vuurvaste schotel,Ovenschaal,0
Vuurwapen,Buks,-2
Vuurwapen,Dubbelloopsgeweer,-2
Vuurwapen,Geweer,-2
Vuurwapen,Tweeloop,-2
Vuurwerk,Knalvuurwerk,-2
Vuurwerk,Siervuurwerk,-2
Warmwaterkruik,Bedkruik,0
Warmwaterkruik,Boejot,1
Warmwaterkruik,Boejote,1
Warmwaterkruik,Heetwaterzak,0
Warmwaterkruik,Stoopke,1
Waskrijt,Wasco,2
Watten,Synthetische watten,-2
Watten,Vette watten,-2
Watten,Witte watten,-2
Wattenstaafje,Oeërstekske,1
Wattenstaafje,Oorkuiserke,1
Wattenstaafje,Oorstaafje,0
Wattenstaafje,Oorstokje,0
Wattenstaafje,Wattenstokje,0
Wc-borstel,Pleeborstel,0
Wc-borstel,Toiletborstel,0
Wc-rol,Closetrol,0
Wc-rol,Toiletrol,0
Wegwerpfototoestel,Fling,2
Wegwerpfototoestel,Wegwerpcamera,0
Wegwerpmasker,Wegwerp mondkapje,0
Wegwerpmasker,Wegwerp mondmasker,0
Wenskaart,Postogram,0
Wieldop,Autowieldop,0
Zaagmeel,Zaagsel,0
Zaagmeel,Zagemeel,0
Zaagmeel,Zagemul,1
Zakdoek,Maalplag,1
Zakdoek,Maalsdoek,1
Zakdoek,Mouwplag,1
Zakdoek,Neusdoek,0
Zakdoek,Snotvod,1
Zakdoek,Tesdoek,1
Zakdoek,Tesnuisink,1
Zakdoek,Tessendoek,1
Zakdoek,Zakneusdoek,0
Zakmes,Kniep,1
Zakmes,Pennenmes,0
Zakmes,Plooimes,0
Zalf,Balsem,0
Zalf,Zauf,1
Zeemvel,Zeem,0
Zeemvel,Zeemlap,0
Zelfbruiner,Bruin-zonder-zon,0
Zetel,Salon,1
Zonnebrandolie,Antizonnebrandcrème,0
Zonnebrandolie,Zonnebrandcrème,0
Zonnebrandolie,Zonnecrème,0
Zonnebrandolie,Zonnemelk,0
Zonnepaneel,Fotovoltaïshe cel,0
Zonnepaneel,PV-cel,0
Zoutzuur,Zoutgeest,0
Zwavelzuur,Vitriool,0
Zwavelzuur,Vitrioololie,0
Zwembad,Kinderzwembad,-2
Zwembad,Plonsbad,1
Zwembad,Zwemkom,1
