Wat,Waar
Faxpapier op rol,Thermisch: restafval
Fiets,"Oude metalen
: breng nog bruikbare fietsen naar de kringloopwinkel"
Fietsband,Restafval
Fietshelm,Restafval
Fietspomp,"Metaal: oude metalen
Kunststof: restafval"
Film (video),Restafval
Filmrolletjes,"KGA
: fotografeer digitaal"
Filter dampkap,Restafval
Filterzakje (koffie),Restafval en composteerbaar
Fineerhout,Houtafval
Fixeervloeistof,KGA: met of zonder product
Flacon (kunststof),PMD
Fles,"Glas: wit of gekleurd glas
Kunststof: PMD
: kies bij voorkeur flessen met statiegeld"
Flesopener,"Kunststof: restafval
Metaal: oude metalen"
Fluostift,KGA
Folie,Restafval
Fondue-olie,"Met product: selectieve inzameling (recyclagepark/inzamelpunt)
Zonder product: PMD of glas"
Fopspeen,Restafval
Formol,KGA
Fosforzuur,KGA
Foto,Restafval
Foto-negatief,KGA
Fotocamera,"Geen wegwerp: AEEA
Wegwerp: restafval"
Fotografische producten,KGA: met of zonder product
Fotopapier,Restafval
"Frituurolie, -vet","Met product: selectieve inzameling (recyclagepark/inzamelpunt)
Zonder product: PMD of glas"
Gasfles,"KGA
: kies flessen die u leeg kunt terugbrengen naar de handelaar"
Geneesmiddel,Terug naar apotheker
Geschenkverpakking,Papier en karton
Geweer,Politie verwittigen
Gif,KGA
Gips,Bouwafval
Gipsverband,Restafval
Glas,"Gerookt: vlak glas
Vensters: vlak glas"
Glasvezel,Restafval
Glasvezelbehang,Restafval
Glaswol,Bouwafval
Gloeilamp,"Restafval
: in doosje laten tegen bescherming scherven"
Gootsteenonstopper,Met of zonder product: KGA
Gordijnen,Textielafval
Grammofoonplaat,Restafval
Gsm,AEEA
Gyprocplaat,Bouwafval
Haar,Restafval
Haarlak,"Met product: KGA
Zonder product: PMD"
Haarschuim,"Met product: KGA
Zonder product: PMD"
Haarverf,Met of zonder product: KGA
Haarverzorgingsproduct,"Met product: KGA
Zonder product: PMD"
Halogeenlamp,KGA
Handdoek,Textielafval
Handschoen,"Leder of textiel: textielafval
Rubber of kunststof: restafval"
Handtas,"Kunststof: restafval
Leder: textielafval"
Hangslot,Oude metalen
Hars,KGA
Horloge,Restafval
Hout,"Zonder verf of vernislaag: houtafval
Met verf of vernislaag: houtafval of grofvuil"
Houtskool,Restafval
Huisbrandolie,KGA: met of zonder product
Ijskreemdoos,Restafval
Ijzer,Oude metalen
Injectienaald,KGA (in naaldcontainer)
Inkt,KGA
Inktvulling,Leeg: restafval
Inlegkruisje,Restafval
Insectenspray,Met of zonder product: KGA
Insecticide,Met of zonder product: KGA
Insulinespuit,KGA (in naaldcontainer)
Isolatiemateriaal,Bouwafval
Isomo,"Grote witte stukken: piepschuim
Snippers of bolletjes: restafval"
Javel,"Met product: KGA
Zonder product: PMD (bidon van max. 8l. inhoud)"
Jeneverkruik,Bouwafval
KGA,Klein Gevaarlijk Afval
Kapstok,Plastiek: restafval
Kartonnen wegwerpbeker,Restafval
Kartonnen wegwerpbord,Restafval
Kasticket,Papier: papier en karton
Kattenbakvulling,"Restafval
Kleine hoeveelheden zijn toegelaten in de restafvalzak,
gewicht restafvalzak max. 15 kg"
Kerstbal,Restafval
Ketting,Oude metalen
Kledij,Textielafval
Kleefpapier,Restafval
Koekjesdozen,"Karton: papier en karton
Metaal: PMD"
Kokosnoot,Restafval
Kolengruis,Restafval
Koper,Oude metalen
Kroonkurk,PMD
Kunstplant (plastiek),Restafval
Kurk,"Stopsel, prikbord, ...: restafval"
Kwik,"Barometer, batterijen, thermometer, ...: KGA"
LP,Restafval
Lakken (verf),Met of zonder product: KGA
Lamp (gewone gloeilamp),"Restafval
(liefst in doosje ter bescherming)
: geef voorkeur aan een spaarlamp"
Lampolie,KGA
Landbouwfolie,Landbouwfolie
Laptop,AEEA
Lavabo,Zonder metalen delen: bouwafval
Lavalamp,KGA
Lederwaren,Textielafval
Lepel,Oude metalen
Lijm,KGA
Linoleum (gebundeld),Grofvuil
Lippenstift,KGA
Lood,Oude metalen
Luchtverfrisser,"Met product: KGA
Zonder product: PMD/restafval"
Lucifer,Restafval
Luier,"Wegwerp: restafval
Herbruikbaar: textielafval/restafval
: gebruik de herbruikbare luier"
Magneet(bord),Oude metalen
Make-up,KGA
Margarinevlootje,Restafval
Mascara,KGA
Matras,"Grofvuil
: hou ze in goede staat door regelmatig om te keren"
Metaalpoets,KGA
Meubel,"Hout: houtafval of grofvuil
Metaal: oude metalen"
Mosselschelp,"Restafval
: verbrijzel ze en voeder ze aan de kippen"
Muggenspray,KGA
Muismat (PC),Restafval
Naalden,"Insulinspuiten, pennaalden en bloedlancetten zijn KGA"
Nagellak (remover),Met of zonder product: KGA
Negatief (foto),KGA
Neonlamp,KGA
Nietjesmachine,Oude metalen
Nummerplaat,"Niet-officieel, reproductie, achteraan wagen: oude metalen
Officieel, achteraan wagen: terugsturen naar DIV, Wetstraat 155, 1040 Brussel"
"Nylon (draad, kous)",Restafval
Olie,KGA
Onkruidverdelger,Met of zonder product: KGA
Ontkalker,Met of zonder product: KGA
Ontsmettingsmiddel,Met of zonder product: KGA
Ontstopper (chemisch product),Met of zonder product: KGA
Oogpotlood,KGA
PET-fles,PMD
Papier,Papier en karton
Paraffine,KGA
Paraplu,Restafval
Parasol,Grofvuil
Parasol (metaal),Oude metalen
Parfum,KGA
Perforator,Oude metalen
Pesticide,KGA
Plasticfles,PMD
Plastiek voorwerp,Restafval
Poppenhuis,Te groot voor restafvalzak/-container? grofvuil
Pruik,Restafval
