0,1
Brilglazen,Recyclagepark (vlak glas)
Brilmontuur (metaal/kunststof),Recyclagepark (metaal) / Restafvalzak
Broeksriem,Kapot: restafvalzak Herbruikbaar: textielcontainer of de Kring(loop)winkel Meer info: www.mirom.be/textiel
Brons,Recyclagepark (metaal)
Brood,Voederen aan de kippen of restafvalzak
Broodbakmachine,Recyclagepark (elektro)
Broodmes,Recyclagepark (metaal)
Broodplank (hout/kunststof),Recyclagepark (hout) / (harde plastics)
Broodrooster,Recyclagepark (elektro)
Broodzak,Papier & karton
Bruinen zonder zon,Recyclagepark (KGA)
Buis (PVC/rubber),Recyclagepark (harde plastics)
Buis (aluminium),Recyclagepark (metaal)
Buis (beton),Recyclagepark (steenpuin)
Buis (metaal),Recyclagepark (metaal)
Buislampen,Recyclagepark (KGA: TL - gloeilampen)
CD hoesje,harde plastics (recyclagepark)
CD schijf,restafvalzak
CD speler,Recyclagepark (elektro)
CD speler (bruikbaar),Kringwinkel
CD-rom,restafvalzak
Cadeaupapier,Papier en karton
Campingartikelen (bruikbaar),Kringwinkel of recyclagepark (container Kringwinkel: kleine herbruikbare goederen --> Let wel: deze container is niet op elk recyclagepark aanwezig)
Capsules,Apotheker
Carbonileum,Recyclagepark (KGA)
Carbonpapier,Restafvalzak
Cartridge,Recyclagepark (KGA)
Cassette,Restafvalzak
Cd's (bruikbaar),Kringwinkel of recyclagepark (container Kringwinkel: kleine herbruikbare goederen --> Let wel: deze container is niet op elk recyclagepark aanwezig)
Cellenbeton,Recyclagepark (niet recycleerbaar afval)
Cellofaan papier,Restafvalzak
Cement (los),Recyclagepark (steenpuin)
Cement (versteend),Recyclagepark (steenpuin)
Cementzak,Restafvalzak
Champignondoosje (bakje),PMD-zak
ChemicaliÃ«n,Recyclagepark (KGA)
Chips,Voederen aan de kippen of PMD-zak
Chloorethaan,Recyclagepark (KGA)
Chloroform,Recyclagepark (KGA)
Chocolade,Voederen aan de kippen of restafvalzak
Chroom,Recyclagepark (metaal)
Chroomzuur,Recyclagepark (KGA)
Citruspers (manueel/elektrisch),Restafvalzak / Recyclagepark (elektro) / Losse metale onderdelen breng je naar het recyclagepark (metaal)
Composiet,"> Brandbaar afvalÂ ComposietÂ is een materiaal dat bestaat uit een mengsel van houtmeel en kunststof. Het wordt gemaakt door houtmeel tezamen met een kunststof polymeer te verhitten en onder hoge druk samen te persen. Composiet wordt veel toegepast als gevelbekleding, muurbekleding en voor het maken van terrassen en schuttingen."
Computer,Recyclagepark (elektro)
Computer (bruikbaar),Kringwinkel
Computerdiskettes,restafvalzak
Condoom,Restafvalzak
Confituurpot (uitgespoeld),Glasbol
Conservenblikjes (leeg),PMD-zak
Contactlens,Restafvalzak
Corrector (tipex),Recyclagepark (KGA)
Cosmetica,restafvalzak
DVD schijf,Restafvalzak
DVD speler,Recyclagepark (elektro)
DVD speler (bruikbaar),Kringwinkel
Dakpannen (steen/andere),Recyclagepark (steenpuin / niet recycleerbaar)
Decapeermiddelen,Recyclagepark (KGA)
Dekbed,Recyclagepark (textiel) Let wel: bevuilde of versleten textiel in restafvalzak
Deken (beddengoed),Bevuild: restafvalzak Versleten: textielcontainer Herbruikbaar: textielcontainer of de Kring(loop)winkel Meer info: www.mirom.be/textiel
Deken (elektrisch),Recyclagepark (elektro)
Deksel (metaal),PMD-zak
Deksel (metaal),PMD-zak
