0,1
Methanol,Restafvalzak (KGA)
Meubelen (bruikbaar),Kring(loop)winkel
Meubelen (hout/metaal),RecyclageparkÂ (hout) / (metaal)
Meubelolie,RecyclageparkÂ (KGA)
Microgolfoven,RecyclageparkÂ Â (elektro)
Mierenzuur,RecyclageparkÂ (KGA)
Milkshaker,RecyclageparkÂ Â (elektro)
Mixer,RecyclageparkÂ Â (elektro)
Mosdoder,RecyclageparkÂ (KGA)
Mosselschelpen,Restafvalzak
Motorolie,RecyclageparkÂ (KGA)
Muggenspray,RestafvalzakÂ (KGA)
Muismat,Restafvalzak
Multiplex,RecyclageparkÂ (hout)
Munitie,Politie bellen
Muziekinstrument (bruikbaar),Kring(loop)winkel of RecyclageparkÂ (container Kringwinkel: kleine herbruikbare goederen --> Let wel: deze container is niet op elk recyclagepark aanwezig)
Muziekinstrument (hout/kunststof),RecyclageparkÂ Â (hout) / (harde plastics)
Naaimachines,RecyclageparkÂ (elektro)
Nagellak,Restafvalzak
Nagellakverwijderaar,Restafvalzak
Natriumhydroxide,RecyclageparkÂ Â (KGA)
Negatief (foto),Recyclagepark (KGA)
Neonlamp,RecyclageparkÂ (KGA)
Neusdruppels (in flesje),Apotheker
Neustondeuse,RecyclageparkÂ (elektro)
Nietjesmachine,RecyclageparkÂ (metaal)
Nikkelbatterijen,RecyclageparkÂ (KGA)
Noten (doppen),Thuiscomposteren of Restafvalzak
Nummerplaat (officieel exemplaar),"Terugsturen naar D.I.V., Wetstraat 155, 1040 Brussel"
Nummerplaat (officieus exemplaar),RecyclageparkÂ Â (metaal)
Nylonkousen,Restafvalzak
Olie,RecyclageparkÂ (KGA)
Omheining (hout/metaal),RecyclageparkÂ (hout) / (metaal)
"Omwikkelfolie (plastic, niet vervuild)","PMD-zak Â (vb wikkels van snoep, chocolade, koekjes...)"
Onderhoudsmiddel,RecyclageparkÂ (KGA)
Onkruid,"Thuiscomposteren of voederen aan de kippen, eendenâ¦ of tuinafvalbak of RecyclageparkÂ (tuinafval)"
Onkruidverdelger,RecyclageparkÂ Â (KGA)
Ontkalker,RecyclageparkÂ (KGA)
Ontsmettingsmiddel,RecyclageparkÂ (KGA)
Ontstopper,RecyclageparkÂ (KGA)
Ontvetter,RecyclageparkÂ (KGA)
Ontvlekker,Recyclagepark (KGA)
Ontwikkelaars,RecyclageparkÂ (KGA)
Oogpotlood of -schaduw,RecyclageparkÂ (KGA)
Oordruppels (in flesje),Apotheker
Opalineglas,RecyclageparkÂ (vlak glas)
Oplaadbare batterij,RecyclageparkÂ (KGA)
Oplosmiddel,RecyclageparkÂ (KGA)
Oud textiel,Bevuild: Restafvalzak 	Versleten:Â textielcontainerÂ Herbruikbaar: textielcontainerÂ Â of de Kring(loop)winkel
Oude kledij,Bevuild:Â Restafvalzak 	Versleten:Â textielcontainerÂ Herbruikbaar:Â textielcontainerÂ Â of deÂ Kring(loop)winkel
Oude kleding,Bevuild: Restafvalzak Versleten: textielcontainerÂ Herbruikbaar: textielcontainerÂ of de Kring(loop)winkelÂ
Oven,RecyclageparkÂ (elektro)
Oven bruikbaar,Kring(loop)winkel
PC,RecyclageparkÂ (elektro)
PC (bruikbaar),Kring(loop)winkel
PET- fessen (leeg),PMD-zak
PVC-fles (leeg),PMD-zak
Pak koffie,restafvalzak
Pallet,RecyclageparkÂ (hout)
Pampers,Restafvalzak
Pan (kookpan of kookpot),RecyclageparkÂ (metaal)
Papier (geplastificeerd),Restafvalzak
Papier (vet),Restafvalzak
Papier (zuiver),Papier en karton
Papieren zakdoekjes,Restafvalzak
Papiergeld,Papier en karton
Paraffine,RecyclageparkÂ (KGA)
Paraplu,Restafvalzak
Parasol (stof + metaal/hout),"Restafvalzak (stof in perscontainer brandbaar grofvuil, metaal bij metaal, hout bij hout)"
Parfum,Lege parfumflesjes mag je bij glas sorteren. Verwijder wel eerst de verstuiver en gooi die bij het restafval.
Perforator (metaal),RecyclageparkÂ (metaal)
Pesticide,RecyclageparkÂ (KGA)
Petroleum,Recyclagepark (KGA)
Pickles,Restafvalzak
Piepschuimverpakking,Piepschuimverpakkingen van bvb kaas en hesp horen in de PMD-zak
Pillen,Apotheker
Piraatbom,Politie bellen
Pit,Thuiscomposteren of RecyclageparkÂ
Plakband,Restafvalzak
Plank,RecyclageparkÂ (hout)
Plant zonder kluit,Thuiscomposteren
Plantentray,PMD-zak (bloempotjes)
Plastic bewaardoos (bv. tupperware),Bewaardozen in plastic zoals tupperware zijn Harde plasticsÂ en breng je naar het recyclagepark.
Plastic fles (leeg),PMD-zak
"Plastic folie van verpakkingen (bv. flessen, blikjesâ¦)",PMD-zak
Plastic folie van voeding,PMD-zak
"Plastic potje (bv. yoghurt, boter...)",PMD-zak
Plastic zakken van zand,PMD-zak
Plastic zakken van zand,PMD-zak
Platen (bruikbaar),Kring(loop)winkel ofÂ RecyclageparkÂ (container Kringwinkel: kleine herbruikbare goederen --> Let wel: deze container is niet op elk recyclagepark aanwezig)
Pleisters,Restafvalzak
Plexiglas,Restafvalzak (Let wel: goed verpakken)
Pluimen,Restafvalzak
Polijstmiddel,Recyclagepark (KGA)
Polshorloge,RecyclageparkÂ (metaal)
Polyesterharsen,RecyclageparkÂ (KGA)
Pop (bruikbaar),Kring(loop)winkel of RecyclageparkÂ (container Kringwinkel: kleine herbruikbare goederen --> Let wel: deze container is niet op elk recyclagepark aanwezig)
Pop (onbruikbaar),Restafvalzak
Poppenhuis (onbruikbaar),Restafvalzak of indien te groot:RecyclageparkÂ (perscontainer brandbaar grofvuil)
Porselein,RecyclageparkÂ (niet recycleerbaar)
Pot van zalf,Een pot van zalf lever je af op het recyclagepark.
Potje (plastic),PMD-zak
Potlood,Restafvalzak
Printer,RecyclageparkÂ (elektro)
Printer (bruikbaar),Kring(loop)winkel
Printercassettes,RecyclageparkÂ (KGA)
Propaanzuur,RecyclageparkÂ (KGA)
Pruimtabak,Restafvalzak
Pyrex,RecyclageparkÂ Â (niet recycleerbaar)
Raam (hout),RecyclageparkÂ Â (hout) Let wel: zoveel mogelijk ontdoen van metalen onderdelen
Raamglas,RecyclageparkÂ (vlak glas)
Raamprofiel (kunststof),RecyclageparkÂ Â (harde plastics) Let wel: zoveel mogelijk ontdoen van metalen onderdelen
Raclette,RecyclageparkÂ (elektro)
Radiator,RecyclageparkÂ (metaal)
Radio,RecyclageparkÂ (elektro)
Radio (bruikbaar),Kring(loop)winkel
Rattenvergif,RecyclageparkÂ (KGA)
Reclamebladen,Papier en kartonÂ (Let wel: zonder folie!)Â
Reclamefolders,Papier en kartonÂ (Let wel: zonder folie!)Â
Regenpijp (pvc),RecyclageparkÂ (harde plastics)
Reiskoffer,Een valies of reiskoffer is te groot voor de restafvalzak. Die breng je naar het recyclagepark als brandbaar grofvuil.
Rekenmachines,RecyclageparkÂ (elektro)
Remolie,RecyclageparkÂ (KGA)
Remover,RecyclageparkÂ Â (KGA)
Remvloeistof,RecyclageparkÂ (KGA)
Revolver,Politie bellen
Rieten mand,Restafvalzak of indien te groot: RecyclageparkÂ (perscontainer brandbaar grofvuil)
Rietjes,PMD-zak
Rijstkoker,RecyclageparkÂ (elektro)
Ring (metaal/kunststof),RecyclageparkÂ (metaal) / Restafvalzak
Ringmappen,Restafvalzak
Roestverwijderingsmiddel,RecyclageparkÂ (KGA)
Roet,Restafvalzak (Let wel: een restafvalzak mag max. 15 kg wegen)
Roller van deodorant,Een roller van glas mag in deÂ Glasbol Een roller van plastic mag in deÂ PMD-zak Â
Rolluik (hout),RecyclageparkÂ (hout) Let wel: zoveel mogelijk ontdoen van metalen onderdelen
Rolluik (pvc),RecyclageparkÂ (harde plastics) Let wel: zoveel mogelijk ontdoen van metalen onderdelen
Rolschaats,RecyclageparkÂ (metaal)
Roman (bruikbaar),Kring(loop)winkel of RecyclageparkÂ (container Kringwinkel: kleine herbruikbare goederen --> Let wel: deze container is niet op elk recyclagepark aanwezig)
Roofing,RecyclageparkÂ (perscontainer brandbaar grofvuil)
Rookdetector,RecyclageparkÂ (KGA)
Rookglas,RecyclageparkÂ (vlak glas)
Rookmelder,RecyclageparkÂ elektro)
Rotswol,RecyclageparkÂ (perscontainer brandbaar afval)
Rubber (let op: geen voertuigbanden met uitz. van fietsbanden),Restafvalzak
Rugsproeier,"Een rugsproeier uit harde plastic volledig leeg/droog is -->Â RecyclageparkÂ , harde plastics"
RÃ¶ntgenfoto (RX),RecyclageparkÂ (KGA)
Salon (bruikbaar),Kring(loop)winkel
Salpeterzuur,RecyclageparkÂ (KGA)
Sapcentrifuge,RecyclageparkÂ (elektro)
Saus,Restafvalzak
Sausdikker,Restafvalzak
Schaafsel,Thuiscomposteren (enkel van zuiver hout) / RecyclageparkÂ (hout)
Schaar,RecyclageparkÂ Â (metaal)
Scheerapparaat,RecyclageparkÂ (elektro)
Scheerzeep,RecyclageparkÂ (KGA) Let wel: lege plastic flacons of bussen scheerzeep mogen in de PMD-zak
Schelpen,Restafvalzak
Schelpenzand,RecyclageparkÂ (steenpuin)
Schilderij,Kring(loop)winkel of RecyclageparkÂ (container Kringwinkel: kleine herbruikbare goederen --> Let wel: deze container is niet op elk recyclagepark aanwezig)
Schillen groenten / fruit,"Thuiscomposteren of voederen aan de kippen, eendenâ¦ of Restafvalzak"
Schmink,RecyclageparkÂ (KGA)
Schoendoos,Papier en karton
Schoenen (bruikbaar),Kring(loop)winkel of in deÂ textielcontainerÂ Â Let wel: bevuild of versleten schoeisel in Restafvalzak
Schoenen (onbruikbaar),Restafvalzak
Schoenlepel (metaal/kunststof),Restafvalzak (metaal) /Â Restafvalzak
Schoensmeer,Restafvalzak (KGA)
Schoonmaakmiddelen,RestafvalzakÂ (KGA) Let wel: lege plastic flacons mogen in de PMD-zak
Schors,Thuiscomposteren of tuinafvalbak of RecyclageparkÂ (tuinafval)
Schotelverwarmers,RecyclageparkÂ (elektro)
Schrift,Papier en karton
Schrijfpapier,Papier en karton
Schroefdop (metaal),PMD-zakÂ
Schroefdop (plastic),PMD-zakÂ Â (fles platdrukken en dop erop)
Schroot,RecyclageparkÂ (metaal)
Schuurpapier,Restafvalzak
Schuurpoeder,RecyclageparkÂ (KGA)
Serreglas (zuiver),RecyclageparkÂ (vlak glas)
Servet (papier),Restafvalzak
Servies (keramiek of porselein),RecyclageparkÂ Â (niet recycleerbaar)
Shampooflacon (leeg),PMD-zak
Sigarettenpeukjes,Restafvalzak
Siliconen,Wat doe je met je lege tubes silicone? Geef je af in hetÂ RecyclageparkÂ (KGA).
Siropen,Apotheker
"Sjaal, muts, wanten",Bevuild: Restafvalzak 	Versleten: textielcontainerÂ Herbruikbaar: textielcontainerÂ of de Kring(loop)winkel
Skateboard,Restafvalzak(perscontainer brandbaar afval)
Skeeler,Restafvalzak (perscontainer brandbaar afval)
Ski,Restafvalzak(perscontainer brandbaar afval)
Sla-olie,Restafvalzak (KGA)
Slaapzak,Kapot of bevuild: Restafvalzak 	Herbruikbaar: textielcontainerÂ of de Kring(loop)winkel
Slachtafval,"Contacteer Rendac, Denderleeuw 053/64 02 34"
Slagroomspuitbus (leeg),PMD-zak
Slazwierder (bruikbaar),Kring(loop)winkel of Restafvalzak (container Kringwinkel: kleine herbruikbare goederen --> Let wel: deze container is niet op elk recyclagepark aanwezig)
Smeerolie,Restafvalzak (KGA)
Snelkoker,RecyclageparkÂ (elektro)
Snijbloemen,Thuiscomposteren of tuinafvalbak of RecyclageparkÂ (tuinafval)
Snijmachine,RecyclageparkÂ (elektro)
Snoeiafval (klein),Thuiscomposteren of tuinafvalbak of RecyclageparkÂ (tuinafval)
Snoepgoed,Restafvalzak
Soda,Restafvalzak (KGA)
Soep,Gootsteen of toilet
Soldeerapparaat,Restafvalzak(elektro)
Solventen,RestafvalzakÂ (KGA)
Spaanderplaat,Restafvalzak (hout)
Spaarlampen,RecyclageparkÂ (KGA)
Speelgoed (bruikbaar),Kring(loop)winkelofÂ RecyclageparkÂ (container Kringwinkel: kleine herbruikbare goederen --> Let wel: deze container is niet op elk recyclagepark aanwezig)
Speelgoed (onbruikbaar),RestafvalzakÂ of indien te groot: RecyclageparkÂ (perscontainer brandbaar grofvuil)
Speelgoedtoren,Â Een speelgoedtoren hoort bij harde plastics. Â Â
Spiegel,RecyclageparkÂ (vlak glas)
Spiegel (bruikbaar),Kring(loop)winkel of RecyclageparkÂ (container Kringwinkel: kleine herbruikbare goederen --> Let wel: deze container is niet op elk recyclagepark aanwezig)
Spil,RecyclageparkÂ (metaal)
Spiritus,RecyclageparkÂ (KGA)
Spray,Apotheker
Sproeistof,RecyclageparkÂ (KGA)
Spuitbus cosmetica (leeg),PMD-zak
Spuitbus voedingsstoffen (leeg),PMD-zak
Spuitbussen,RecyclageparkÂ (KGA) Let wel: lege spuitbussen van voedingswaren en cosmetica mogen in de PMD-zak
Staafmixer,RecyclageparkÂ (elektro)
Steel (hout/kunststof),RecyclageparkÂ (hout) / (harde plastics)
Steengrill,RecyclageparkÂ (elektro)
Steengruis,RecyclageparkÂ (steenpuin)
Stempelkussen,RecyclageparkÂ (KGA)
Stemvork,RecyclageparkÂ (metaal)
Stenen flessen,RecyclageparkÂ (steenpuin)
Stereo,RecyclageparkÂ (elektro)
Stereo (bruikbaar),Kring(loop)winkel
Sticker,Restafvalzak
Stiften,RecyclageparkÂ (KGA)
Stoel (bruikbaar),Kring(loop)winkel
Stoel zonder stoffen zitvlak (hout/metaal/kunststof),RecyclageparkÂ (hout) / (metaal) / (harde plastics)
Stofzuiger,RecyclageparkÂ (elektro)
Stofzuiger (bruikbaar),Kring(loop)winkel
Stofzuigerzak,Restafvalzak
Stookolie,RecyclageparkÂ (KGA)
Stoomkoker,RecyclageparkÂ (elektro)
Stoomreiniger,RecyclageparkÂ (elektro)
Stopbadvloeistof,RecyclageparkÂ (KGA)
Strijkijzer,RecyclageparkÂ (elektro)
Strijkplank (bruikbaar),Kring(loop)winkel of RecyclageparkÂ (container Kringwinkel: kleine herbruikbare goederen --> Let wel: deze container is niet op elk recyclagepark aanwezig)
Stripverhaal (bruikbaar),Kring(loop)winkelÂ of RecyclageparkÂ (container Kringwinkel: kleine herbruikbare goederen --> Let wel: deze container is niet op elk recyclagepark aanwezig)
Stro (zuiver),Thuiscomposteren of tuinafvalbak of RecyclageparkÂ tuinafval)
Strooizout,RecyclageparkÂ (KGA)
Struiken,Thuiscomposteren of RecyclageparkÂ (tuinafval)
Stylo,RecyclageparkÂ (KGA)
Suiker,Restafvalzak
TL-lamp,RecyclageparkÂ (KGA)
TV,RecyclageparkÂ (elektro)
TV (bruikbaar),Kring(loop)winkel
Tabak,Restafvalzak
Tafel (bruikbaar),Kring(loop)winkel
Tafel (hout/metaal/kunststof),RecyclageparkÂ (hout) / (metaal) / (harde plastics)
Tafelkleed,Bevuild: Restafvalzak 	Versleten:Â textielcontainerÂ Herbruikbaar:Â textielcontainerÂ of de Kring(loop)winkel
Tafellaken (papier),Restafvalzak
Takken,Thuiscomposteren of tuinafvalbak of RecyclageparkÂ (tuinafval)
Talkpoeder,RecyclageparkÂ (KGA)
Tampon,Restafvalzak
Tandenborstel,Restafvalzak
Tandpasta (lege flacon),PMD-zak
Tandpasta (tube),PMD-zak
Tapes,Restafvalzak
Tapijt,RecyclageparkÂ (perscontainer brandbaar afval)
Teerolie,RecyclageparkÂ (KGA)
Tegel (steen / keramiek),RecyclageparkÂ (steenpuin / niet recycleerbaar)
Telefoon,RecyclageparkÂ (elektro)
Telefoongids,Papier en karton
Televisie,RecyclageparkÂ (elektro)
Televisie (bruikbaar),Kring(loop)winkel
Terpentijn,RecyclageparkÂ (KGA)
Teststrips,Restafvalzak
Teststrookjes,Restafvalzak
Tetra,RecyclageparkÂ (KGA)
Tetrabrik (leeg),PMD-zak
Theebladeren,ThuiscomposterenÂ of Restafvalzak
Theedoek,Bevuild:Â Restafvalzak 	Versleten:Â textielcontainerÂ Herbruikbaar: textielcontainerÂ Â of de Kring(loop)winkel
Theelichthoudertjes,PMD-zak Â
Theepot,RecyclageparkÂ (niet recycleerbaar)
Theezakje,Thuiscomposteren of Restafvalzak
Thermometer,RecyclageparkÂ (KGA)
Thermosfles,Restafvalzak
Thinner,RecyclageparkÂ (KGA)
Tijdschriften,Papier en karton
Toilet,RecyclageparkÂ (niet recycleerbaar)
Toiletreiniger,RecyclageparkÂ (KGA) Let wel: lege plastic flacons mogen in de PMD-zak
Tolueen,RecyclageparkÂ (KGA)
Toner,RecyclageparkÂ (KGA)
Touw,Restafvalzak
Transistorbatterijen,RecyclageparkÂ (KGA)
Trapladder (ijzer),RecyclageparkÂ (metaal)
Treinbilzen,Via privÃ© verwerker
Trichlooretheen,RecyclageparkÂ (KGA)
Triplexplaat,RecyclageparkÂ (hout)
Tuinslang,RecyclageparkÂ (perscontainer brandbaar afval)
Tuinstoel (plastic),RecyclageparkÂ (harde plastics)
Tuintafel (plastic),RecyclageparkÂ (harde plastics)
Turfzak,PMD-zak
UV- lamp,RecyclageparkÂ (KGA)
Uitwerpselen van dieren (grote hoeveelheden),Ruimdienst
Uitwerpselen van dieren (kleine hoeveelheden),Restafvalzak (Let wel: een restafvalzak mag max. 15 kg wegen) Mest van planteneters (zoals konijnen) kun je ook composteren.
Unaliet platen,RecyclageparkÂ (hout)
Vaas (glas of steen),RecyclageparkÂ (niet recycleerbaar)
Vanadium,RecyclageparkÂ (metaal)
Vanadiumzuur,RecyclageparkÂ (KGA)
Veegborstel (hout),RecyclageparkÂ (hout)
Veegvuil,Restafvalzak
Veldfles (metaal),RecyclageparkÂ (metaal)
Veldfles (plastic),RecyclageparkÂ (harde plastics)
Velg (autobanden),RecyclageparkÂ (metaal)
Vensterglas,RecyclageparkÂ (vlak glas)
Ventilator,RecyclageparkÂ (elektro)
Verbanden,Restafvalzak
Verbrijzeld glas,RecyclageparkÂ (vlak glas)
Verdunner,RecyclageparkÂ (KGA)
Verf,RecyclageparkÂ (KGA)
Verfafbijter,RecyclageparkÂ (KGA)
Verfborstel,RecyclageparkÂ (KGA)
Verfpot,RecyclageparkÂ (KGA)
Verfrissingsdoekje,Restafvalzak
Vernis,RecyclageparkÂ (KGA)
Verpakking (karton),Papier en karton
"Verpakking (papier, niet geplastificeerd)",Papier en karton
"Verplegingsafval (thuisverpleging, niet risicohoudend)",Restafvalzak
Versheidsfolie (plastic),PMD-zak
Vervallen eetwaren,Restafvalzak (Let wel: een restafvalzak mag max. 15 kg wegen)
Vervuild papier,Restafvalzak
Verwarmingskussen,RecyclageparkÂ (elektro)
Vetten,RecyclageparkÂ (KGA)
Vezelplaat,RecyclageparkÂ (hout)
Videobanden,Restafvalzak
Videocamera,RecyclageparkÂ (elektro)
Videocassettes,Restafvalzak
Videorecorder,RecyclageparkÂ (elektro)
Vijs,RecyclageparkÂ (metaal)
Viltstift,RecyclageparkÂ (KGA)
Vinylplaat,Restafvalzak
Vislijn,RecyclageparkÂ (perscontainer brandbaar afval)
Visresten,Restafvalzak
Vitaminebereidingen,Restafvalzak
Vlak glas (zonder metaal),RecyclageparkÂ (vlak glas)
Vleesmolen,RecyclageparkÂ (elektro)
Vleesresten,Restafvalzak
Vlekkenwater,RecyclageparkÂ (KGA)
Vliegengordijn,Restafvalzak
Vliegenvanger,RecyclageparkÂ (KGA)
Vloeibare medicijnen,Apotheker
Vloerreiniger,RecyclageparkÂ (elektro)
Vlooienband,RecyclageparkÂ (KGA)
Vochtig doekje,Restafvalzak
Vod,Restafvalzak
Voedingsspuitbus (leeg),PMD-zak
Voegpasta,RecyclageparkÂ (KGA)
Voetbal,Restafvalzak
Voetmassage,RecyclageparkÂ (elektro)
Voetmat,Restafvalzak
Vogelzaad,Restafvalzak (Let wel: een restafvalzak mag max. 15 kg wegen)
Vogelzand,Restafvalzak (Let wel: een restafvalzak mag max. 15 kg wegen)
Voltapijt,Restafvalzak(kleine stukken) of indien te groot: RecyclageparkÂ (perscontainer brandbaar grofvuil)
Vuil papier,Restafvalzak
Vuilblik (metaal/kunststof),RecyclageparkÂ (metaal) / Restafvalzak
Vulpen,RecyclageparkÂ (KGA)
Vuurvaste schalen,RecyclageparkÂ (niet recycleerbaar afval)
Vuurvaste schotel (glas of aardewerk),RecyclageparkÂ (niet recycleerbaar)
Vuurwapen,Politie bellen
Vuurwerk,Politie of verkoper (vuurwerk wordt niet aanvaard op het recyclagepark)
WC-borstel,Restafvalzak
WC-pot,RecyclageparkÂ (niet recycleerbaar)
WC-reiniger,"WC-ontkalkersÂ kunnen perfect gerecycleerd worden. Je mag ze dan ook bij PMDÂ sorteren, tenzij er Ã©Ã©n van onderstaande pictogrammen op de verpakking staat: Verpakkingen met kindveilige sluiting zijn niet toegelaten bij PMD: Verpakkingen met Ã©Ã©n van deze pictogrammen, en met kindveilige sluiting moeten naar hetÂ RecyclageparkÂ Â (KGA)Â"
WC-rol,Papier en karton
Wafelijzer,RecyclageparkÂ (elektro)
Wafelijzers,RecyclageparkÂ elektro)
Warmwaterkruik,Restafvalzak
Wasbak (porselein),RecyclageparkÂ (niet recycleerbaar)
Wasbenzine,RecyclageparkÂ (KGA)
Wasco,Restafvalzak
Wasdraad,Restafvalzak
Washandje,Bevuild:Â Restafvalzak 	Versleten: textielcontainer 	Herbruikbaar: textielcontainerÂ of de Kring(loop)winkel
Wasmachine,RecyclageparkÂ (elektro)
Wasmachine (bruikbaar),Kring(loop)winkel
Wasmand,RecyclageparkÂ (harde plastics)
Wasmiddel (lege flacon),PMD-zak
Waspoeder,RecyclageparkÂ (KGA)
Waspoeder (leeg karton),Papier en karton
Wasverzachter (lege flacon),PMD-zak
Waterfilters,RecyclageparkÂ (elektro)
Waterkokers,RecyclageparkÂ (elektro)
Watte,Restafvalzak
Watten,Restafvalzak
Wattenstaafje,Restafvalzak
Waxen,RecyclageparkÂ (KGA)
Weegschaal,RecyclageparkÂ (elektro)
Wegenkaart,Papier en karton
Wekkers,RecyclageparkÂ (elektro)
Welfsels (betondallen),RecyclageparkÂ (steenpuin)
Wenskaart,Papier en karton
White spirit,RecyclageparkÂ (KGA)
Wieg,RecyclageparkÂ (hout)
Wieg (bruikbaar),Kringwinkel
Wieldeksel,Plastic wieldeksel: (recyclagepark) harde plastics Metalen wieldeksel: (recyclagepark) metaal
Wijnfles (leeg),Glasbol
Wok (elektrisch),RecyclageparkÂ (elektro)
X-straalfoto,RecyclageparkÂ (KGA)
XPS- voedingsschaaltjes,"PMD-zak EPS- schaaltjes, vb van vlees, mogen in de blauwe zak. Hangt er doorzichtige folie aan? Maak die dan wel los en gooi die apart in de blauwe zak."
Xyleen,RecyclageparkÂ (KGA)
Xyleen,RecyclageparkÂ (KGA)
Yoghurt,Restafvalzak
Yoghurtbeker,PMD-zak
Yoghurtfles (glas),Glasbol
Yoghurtfles (kunststof),PMD-zak
Yoghurtkarton (leeg),PMD-zak
Yoghurtmaker,RecyclageparkÂ (elektro)
Yoghurtpot (kunststof/glas),PMD-zak / Glasbol
Yoghurtpotjes,PMD-zak
Ytongblok,RecyclageparkÂ (niet recycleerbaar afval)
Zaag,RecyclageparkÂ (metaal)
Zaag (elektrisch),RecyclageparkÂ (elektro)
Zaagmeel,Thuiscomposteren (enkel van zuiver hout) / RecyclageparkÂ (hout)
Zakdoek (papier),Restafvalzak
Zakken (jute),Restafvalzak
Zakken (papier),Papier en karton
Zakken (plastic),PMD
Zaklamp,Recyclagepark (elektro)
Zaklamp (bruikbaar),Kringwinkel
Zakmes,RecyclageparkÂ (metaal)
Zalf (rest in tube),Apotheker
Zand,RecyclageparkÂ (steenpuin)
Zandzakken (leeg),Restafvalzak
Zeemvel,Restafvalzak
Zeep,Recyclagepark (KGA) Let wel: lege plastic flacons mogen in de PMD-zak
Zeepflacons (leeg),"Â Flacons van onder meer zeep, douchegel en shampooÂ horen thuis in de PMD-zak."
Zelfklevend papier,Restafvalzak
Zetel,Recyclagepark (perscontainer brandbaar afval) + eventueel: metaal bij metaal / hout bij hout
Zetel (bruikbaar),Kringwinkel
Zetelhoes,Bevuild: restafvalzak 	Versleten:Â textielcontainer 	Herbruikbaar: textielcontainerÂ of de Kring(loop)winkel
Zetelkussen,Recyclagepark (perscontainer brandbaar afval)
Zetpillen,Apotheker
Zijden bloem,Restafvalzak
Zilverpapier,Restafvalzak
Zilverpoets,Recyclagepark (KGA)
Zink,Recyclagepark (metaal)
Zonnebank (zonder lampen,Recyclagepark (elektro)
Zonnebanklampen,Recyclagepark (KGA)
Zonnebril,Restafvalzak
Zonnecreme (lege flacon),PMD-zak
Zonnepanelen,Op www.pvcycle.be vind je de erkende inzamelpunten
Zout,Recyclagepark (KGA)
Zoutzuur,Recyclagepark (KGA)
Zuren,Recyclagepark (KGA)
Zwangerschapstest,Apotheker
Zwavelzuur,Recyclagepark (KGA)
Zwembad en -bandje,Restafvalzak
afsluitfolie (vb van yoghurt),PMD-zak MaakÂ deÂ folie los van hetÂ bakjeÂ en gooi ditÂ los van elkaar in de zak.
auto-olie,Motorolie hoort op het recyclagepark bij KGA Giet de motorolie in de verpakking of in een andere plastic fles (geen flessen van frituurolie of ander gevaarlijke afvalstoffen)
capsule van koffie,Een koffiekapsule hoort in deÂ Restafvalzak Â
chips -zak,chipszakken mogen in deÂ PMD-zak. Chips-tubes moeten in de restafvalzak. (zoals Springles)
opblaasbaar zwembad,Restafvalzak Of bij het brandbaar afval op het recyclagpepark.
plastic verpakking koekjes,Deze plastic verpakking magÂ in deÂ PMD-zak. Â
printpapier,Papier en karton
tuinafval,zie: http://www.mirom.be/waarheen-met-mijn-tuinafval
