Wat?
hard plastic bloemengieter
puntenslijpsel
pingpongbal
cadeaulint
volle stofzuigerzak
broek
slagroombus
magnetronpopcorn
glasplaat
stropdas
energiezuinige lampen
grindtegels
meetstripjes diabetes
boter- of margarine kuipje
theeblikje
teer dakbedekking
magnetron bakje
papieren zakje met zilveren binnenzijde
papier met plastic of aluminum laagje
medicijnpotje
melkpak
geïmpregneerd hout
babymelk poeder verpakking zonder deksel
kwast met uitgeharde verf
stof
pindadoppen
servetten
vensterenveloppen
milkshake beker
computerprints
vleesresten
roomboterwikkel
muts
folie van toetjesbekers zoals yoghurt en vla
composteerbaar plastic
spijkerbroek
calippo ijsjes verpakking
steekschuim
cornetto papier
bigbag
tussenvelletje bladerdeeg
haar van mensen en dieren
bumper
broodkorsten
fles zonder statiegeld
leeg sigarettenpakje
soeppak
ijsverpakking
lollystokje
tube zonnebrandcreme
tray voor tuinplanten
harde kunststof plantenpotten / plantenbakken
wasmiddelkarton
mierenlokdoos met kruissymbool
tasje van papier
kitkoker
oude kleding
schuursponsje
yoghurt breaker verpakking
jas
macaroni
batterijen
tape van kartonnen dozen
inhalator
wasdroger pluis
ananas
zalmvel
insecticiden
aansluitkabel
papieren doosje diepvriesfruit
plastic doppen
plakker op fruit
leren riem
folders
folie paaseitjes
havermout
silicaatkorrels
servies van gewoon glas
verwarmingsthermostaat
frisdrank pakken
tandpastatube
deodorant spuitbus
nietje
snoepverpakking
visdraad
wanten
badmat van textiel
tandenstoker
mp3-speler
bindmateriaal voor bijvoorbeeld stapel kranten
cd
gemaaid gras
enveloppen met venster
potdeksel van blik
wasmiddel flacon
bal van leer of plastic
fietsverlichting
kaaskorst met plastic
verpakking van koffiepads
soepbot
tefal pan
tijdschriften
harddisk
tekenpapier
afstandbediening
thermoskan
lompen
polystyreen vleesschaaltje
pakken van soep en pastasaus
theelichtjes
plastic vat van bestrijdingsmiddelen
aquarium
mona deksel aluminium
wierookstokjes
nagels
koolstof filter
bodylotion flacon
sinaasappelnetjes
oliefilters
deksel van yoghurtbekers
paperclips
deodorantroller plastic
luchtkussenenveloppe
net van groenten en fruit
stoma afval
parfumflesje
regenkleding
bikini
hard plastic
kuipje diervoeding
jus of vet
braadstoomzak
card reader
cassettebandjes
soepballetjes
sappak
spiegels
frisdrankfles
saladebakje
margarine
ijsstokje
eierdozen
sjaal
garen
stenen fles
zilverkleurige binnenverpakking van koffie
handschoenen
verpakking van vis- en vleeswaren
sporttas
condoom
blisters
houten tandenstokers en prikkers
sigarendoos
kassabonnen
sanitair papier
ijsbeker
latex huishoudhandschoenen
bankstel
magnetronschaal
barbeque as
elektriciteitsdraad of kabel
snijbloemen
spelden
ordners zonder inhoud
jurk
kadolint
papieren zak
bruin papieren groentezak
aluminium afdekfolie van boter of margarine
bezem / borstel
walnoot
aluminium afdeklaagje van margarine
ventilator
bed
led-lamp
gympen
usb-stick
soepzak plastic
plastic zak
zakje van kattenvoer
babydoekje
gordijnrails
mon chou verpakking
vulmateriaal
koelkast
puzzel
headset
autolampen
zakjes van saus
graszoden
potgrond
hondenvoerblik
make-up doekje
kattenbakkorrels met milieukeurmerk
sandalen
vloerbedekking
behang
wijnglas
tie-wrap
anti-muggen lotion
adapter
kaaspapier
elektrische tandenborstel
kopieerpapier
kunststof
chemisch toilet
kabelbinder
taxus
boomstronken
wegwerp luiers
tegels
bakje van kattenvoer
impregneermiddelen
papiertje bouillonblokje
afplaktape
borrelnoten
wikkel
deksels van pindakaaspotten
elastiek
kauwgom
cd-cases
raffia
koffiebekertje
staalwol
koekenpan
oud brood
kleerhangers plastic of hout
tomatennetje
meubelen
zeep flacon
prothese
handdoeken
koffiepak met aluminium binnenlaagje
foto fixeermiddel
bananenschil
inpakfolie
elektrisch bed
keukenpapier rol
zak van snoep
papieren diepvriesverpakking
drinkbekers van karton met plastic laagje
plastic verpakkingen
barbequekolen
opzettandenborstel
deksel van glazen pot
kurken
schrijfpapier
faxvellen
laarzen
polyethyleen
vochtige doekjes
stripboeken
weegschaal
brilpoetsdoekje
cup-a-soup zakje
bakpapier
aluminiumdoppen
oplader
vodden
afwasborstel
vaatwasser
koelelement van de koelkast
plastic speelgoed
yoghurt beker
maiskolf
pakken van vruchtensappen
tuinmeubelen
restjes stof
siliconen polsbandje
schuimplastic
catalogus
insteekhoes
plantenpotten van organisch materiaal
dennennaalden
tabletcomputer
tandenragers
botten van eten
zonnebrand tube of -fles
leidingen
vissticks
zwembroek
buitenverpakking beschuitrol
kaaskorst zonder plastic
gft-zakjes
urine opvang zak
geleisuiker
plastic cadeaukaart
aluminium inhalator
oude schoenen
pastazak
speen
knijpfles van bijv. olie
drankblik
etsvloeistof
hoofdtelefoon
sondevoeding afval
gereedschap
gebruikte papieren zakdoek
breiwol
luiers
radiator
accu’s
satéprikker
knuffels
houten kaasverpakking
rok
theebladeren
spons
chipskoker
pvc
citroenschillen
aluminium dekseltjes van yoghurt of toetjes
treinkaartjes
drinkglas
muziekinstrument akoestisch
douchebak van kunststof
verfemmer van plastic
boxen
klei
vleeswarenverpakking
gif en bestrijdingsmiddelen
prikpen diabetes
inleglapje van vlees of vis
bloempot van aardewerk
patatbakje
sokken
waterleidingen
gekleurd glas
soepverpakking
fles van lampolie
inlegvel wasbare luier
houtsnippers
gekookte aardappel
lapje of velletje onder vlees
schoenen
schoenveter
